Municipality code,Municipality,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,Population2019,TotalCases
17495,Norcasia,12,0,5,5,5,0,47,67,174,3,0,4,52,6075,374
99524,La Primavera,32,20,8,41,3,8,48,22,25,72,0,3,92,9799,374
11001,Bogotá  D.C.,0,1,0,0,0,62,148,162,0,0,0,0,0,7592871,373
17777,Supía,5,2,7,131,3,0,3,33,59,113,2,1,14,29021,373
47692,San Sebastián de Buenavista,0,1,9,15,0,2,29,57,6,86,43,2,121,20171,371
68079,Barichara,4,2,3,105,7,18,42,46,29,81,2,22,8,10674,369
54250,El Tarra,8,2,34,38,26,9,15,71,13,28,40,35,49,21145,368
8372,Juan de Acosta,20,45,15,33,14,8,51,44,34,6,3,49,44,21971,366
54099,Bochalema,22,11,14,51,12,19,40,49,30,23,10,6,79,8529,366
47053,Aracataca,14,5,6,3,0,0,26,4,17,3,2,81,202,40726,363
25851,Útica,9,4,0,46,9,7,15,87,143,19,4,5,15,4324,363
70473,Morroa,19,4,29,48,31,46,54,20,16,6,3,2,84,15495,362
20295,Gamarra,15,26,2,26,19,54,54,85,19,6,5,11,40,15458,362
47980,Zona Bananera,20,7,8,3,5,4,51,17,9,6,3,18,207,71578,358
25862,Vergara,0,19,0,0,5,2,6,3,29,288,1,0,3,6975,356
52678,Samaniego,0,2,4,14,1,3,263,7,10,21,2,5,24,28380,356
66440,Marsella,5,2,1,121,44,35,21,4,25,90,3,0,2,16782,353
73547,Piedras,1,1,3,14,13,47,51,26,18,47,6,9,117,6737,353
25658,San Francisco,0,0,0,25,1,3,40,11,163,96,5,0,7,11316,351
44090,Dibulla,15,3,30,21,13,13,81,57,27,12,0,45,34,40051,351
97001,Mitú,2,3,3,73,2,25,26,5,1,9,0,2,199,31302,350
70713,San Onofre,1,8,9,8,8,7,50,40,64,16,6,5,127,50423,349
76828,Trujillo,24,10,10,73,6,9,5,29,44,70,12,6,51,19073,349
5234,Dabeiba,1,26,0,73,13,29,30,5,12,6,6,3,145,23255,349
70702,San Juan de Betulia,18,19,28,17,19,3,39,32,79,7,1,4,80,13892,346
23068,Ayapel,1,3,1,5,9,55,11,108,25,9,5,56,56,47057,344
44035,Albania,0,2,0,0,0,62,43,136,16,6,3,37,39,30848,344
47460,Nueva Granada,0,0,1,5,0,3,29,2,4,0,0,75,224,20485,343
5856,Valparaíso,1,0,4,8,1,14,25,12,58,192,20,3,4,6462,342
41801,Teruel,16,12,24,32,90,22,16,43,12,13,8,1,50,8064,339
41206,Colombia,9,10,5,17,32,15,30,8,73,12,8,1,117,7136,337
13667,San Martín de Loba,0,1,0,30,1,27,68,32,103,26,3,1,45,14792,337
19212,Corinto,3,1,13,43,3,0,33,11,12,40,3,19,152,25342,333
66687,Santuario,16,4,4,232,10,0,4,28,6,18,6,0,3,12506,331
76041,Ansermanuevo,2,37,21,47,12,7,43,25,86,21,7,7,15,17348,330
5659,San Juan de Urabá,1,6,7,4,0,6,11,17,11,60,69,60,77,20549,329
